ticket_id,query,category,created_at 
nothing,big   nothing,Nothing,2025-04-21 12:24:49.608566
TICKET_FD710F92,My payment failed and I'm furious!,Order,2025-04-21T19:50:31.318339+05:30
TICKET_242B8080,My payment failed and I'm furious!,Order,2025-04-21T20:00:22.082340+05:30
TICKET_58E54076,My payment failed and I'm furious!,Order,2025-04-21T20:03:14.218649+05:30
TICKET_96CEA18E,How do I reset my phone?,Login and Account,2025-04-21T20:03:14.372523+05:30
TICKET_ADA36BE4,My payment failed and I'm furious!,Order,2025-04-21T20:03:41.587625+05:30
TICKET_A91C6EF9,How do I reset my phone?,Login and Account,2025-04-21T20:03:41.733175+05:30
TICKET_2EDAC44D,My payment failed and I'm furious!,Order,2025-04-21T20:09:01.786635+05:30
TICKET_EDC64729,How do I reset my phone?,Login and Account,2025-04-21T20:09:01.994754+05:30
TICKET_03373383,My payment failed and I'm furious!,Order,2025-04-21T20:19:33.868509+05:30
TICKET_3F970D4A,How do I reset my phone?,Login and Account,2025-04-21T20:19:34.032186+05:30
TICKET_71A57081,My payment failed and I'm furious!,Order,2025-04-21T20:22:21.206332+05:30
TICKET_F2DE98B8,How do I reset my phone?,Login and Account,2025-04-21T20:22:21.361401+05:30
TICKET_BBC6BC64,My payment failed and I'm furious!,Order,2025-04-21T20:32:26.112221+05:30
TICKET_253DDB77,How do I reset my phone?,Login and Account,2025-04-21T20:32:26.251179+05:30
TICKET_B70DFFCD,My payment failed and I'm furious!,Order,2025-04-21T21:31:52.615992+05:30
